Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2023,TN,Tennessee,Lawrence,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,9.1,,,8.1,10.1,"46,114","34,552",47099,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,POINT (-87.3957124386779 35.2173290015161)
2022,AR,Arkansas,Drew,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,62.7,,,57.6,68.1,"16,945","13,230",5043,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-91.7196579038053 33.5894113647675)
2023,MO,Missouri,Audrain,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Age-adjusted prevalence,10.5,,,8.9,12.5,"24,394","18,823",29007,SOCLNEED,LACKTRPT,AgeAdjPrv,Transportation Barriers,POINT (-91.8416751879815 39.2156646217742)
2023,NE,Nebraska,Deuel,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,6.1,,,5.1,7.3,"1,871","1,493",31049,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,POINT (-102.333875411547 41.111543648751)
2023,NE,Nebraska,Garden,BRFSS,Prevention,Cholesterol screening among adults,%,Age-adjusted prevalence,80.3,,,77.4,82.9,"1,794","1,468",31069,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-102.335295783611 41.619180104333)
2022,TX,Texas,Montgomery,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Age-adjusted prevalence,57.6,,,53.4,61.9,"711,354","528,013",48339,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-95.5030644811264 30.300104861884)
2022,WI,Wisconsin,Sawyer,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,68.3,,,63.6,72.7,"18,552","15,215",55113,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-91.1445791569221 45.8800079322517)
2023,CA,California,Trinity,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,22.2,,,19.0,25.4,"15,670","12,928",6105,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-123.11262600912 40.6509037984655)
2023,TX,Texas,Lamb,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.5,,,3.1,3.9,"12,711","9,252",48279,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-102.351704737313 34.0686552915887)
2022,MO,Missouri,Taney,BRFSS,Prevention,Colorectal cancer screening among adults aged 45–75 years,%,Crude prevalence,63.2,,,57.8,68.6,"56,775","45,069",29213,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-93.0411619194503 36.6547592716981)
